Plot_Number,Area,Land_Use,Owners,Lat,Lon
690/1,1391438,Katastarska čestica,Vidi posjedovni list,43.824029,16.300279
691/2,1133,Katastarska čestica,Vidi posjedovni list,43.827727,16.30622
691/1,4599,Katastarska čestica,Vidi posjedovni list,43.827634,16.306754
691/4,4990,Katastarska čestica,Vidi posjedovni list,43.827665,16.307272
691/3,586,Katastarska čestica,Vidi posjedovni list,43.827355,16.306774
692,1507,Katastarska čestica,Vidi posjedovni list,43.826297,16.311099
693,2579,Katastarska čestica,Vidi posjedovni list,43.825446,16.310647
788/2,2117,Katastarska čestica,Vidi posjedovni list,43.829095,16.313249
788/1,1690,Katastarska čestica,Vidi posjedovni list,43.828994,16.313395
792/2,921,Katastarska čestica,Vidi posjedovni list,43.828589,16.313995
792/3,978,Katastarska čestica,Vidi posjedovni list,43.828522,16.313959
793,3510,Katastarska čestica,Vidi posjedovni list,43.828395,16.313868
795/2,2298,Katastarska čestica,Vidi posjedovni list,43.828061,16.312619
795/1,5998,Katastarska čestica,Vidi posjedovni list,43.828085,16.313376
795/3,2249,Katastarska čestica,Vidi posjedovni list,43.828158,16.312464
796/1,46,Katastarska čestica,Vidi posjedovni list,43.827504,16.31198
796/2,92,Katastarska čestica,Vidi posjedovni list,43.827623,16.311924
797,2122,Katastarska čestica,Vidi posjedovni list,43.827006,16.311487
798,486,Katastarska čestica,Vidi posjedovni list,43.826857,16.311087
799,1029,Katastarska čestica,Vidi posjedovni list,43.827251,16.311505
800,1223,Katastarska čestica,Vidi posjedovni list,43.827393,16.31145
801,766,Katastarska čestica,Vidi posjedovni list,43.826921,16.310936
802,1003,Katastarska čestica,Vidi posjedovni list,43.827017,16.310786
803,1032,Katastarska čestica,Vidi posjedovni list,43.827482,16.311345
804,950,Katastarska čestica,Vidi posjedovni list,43.826965,16.310486
805,6636,Katastarska čestica,Vidi posjedovni list,43.827469,16.310789
806,2862,Katastarska čestica,Vidi posjedovni list,43.828283,16.312119
807,61,Katastarska čestica,Vidi posjedovni list,43.827724,16.311849
808,810,Katastarska čestica,Vidi posjedovni list,43.828239,16.312348
809/1,867,Katastarska čestica,Vidi posjedovni list,43.828669,16.311915
809/2,6396,Katastarska čestica,Vidi posjedovni list,43.829045,16.312442
810,6018,Katastarska čestica,Vidi posjedovni list,43.830325,16.313594
812,31,Katastarska čestica,Vidi posjedovni list,43.830034,16.313281
813,1716,Katastarska čestica,Vidi posjedovni list,43.829422,16.31298
814,2024,Katastarska čestica,Vidi posjedovni list,43.829503,16.312841
815,64,Katastarska čestica,Vidi posjedovni list,43.830117,16.313214
816,146,Katastarska čestica,Vidi posjedovni list,43.830202,16.313127
817,2387,Katastarska čestica,Vidi posjedovni list,43.829542,16.312644
818/2,876,Katastarska čestica,Vidi posjedovni list,43.829689,16.312403
818/1,1781,Katastarska čestica,Vidi posjedovni list,43.829582,16.312453
819,1007,Katastarska čestica,Vidi posjedovni list,43.829692,16.312297
820/3,135,Katastarska čestica,Vidi posjedovni list,43.830321,16.312937
820/2,108,Katastarska čestica,Vidi posjedovni list,43.830305,16.313002
820/1,152,Katastarska čestica,Vidi posjedovni list,43.830261,16.313049
821,6801,Katastarska čestica,Vidi posjedovni list,43.830802,16.312823
822,11470,Katastarska čestica,Vidi posjedovni list,43.829414,16.311701
827,5895,Katastarska čestica,Vidi posjedovni list,43.829455,16.310715
828,374,Katastarska čestica,Vidi posjedovni list,43.830065,16.311893
831,1906,Katastarska čestica,Vidi posjedovni list,43.830314,16.311184
832,1593,Katastarska čestica,Vidi posjedovni list,43.830242,16.311321
833,1737,Katastarska čestica,Vidi posjedovni list,43.830183,16.311463
834,1784,Katastarska čestica,Vidi posjedovni list,43.830128,16.311619
835,1475,Katastarska čestica,Vidi posjedovni list,43.83004,16.311733
836,352,Katastarska čestica,Vidi posjedovni list,43.830088,16.311866
838/2,2058,Katastarska čestica,Vidi posjedovni list,43.828835,16.310108
838/1,3434,Katastarska čestica,Vidi posjedovni list,43.829037,16.31018
839/2,165,Katastarska čestica,Vidi posjedovni list,43.829098,16.309358
839/1,112,Katastarska čestica,Vidi posjedovni list,43.82924,16.309444
840/1,2133,Katastarska čestica,Vidi posjedovni list,43.828706,16.309982
840/2,1906,Katastarska čestica,Vidi posjedovni list,43.828578,16.309883
840/3,2011,Katastarska čestica,Vidi posjedovni list,43.828502,16.309738
841,205,Katastarska čestica,Vidi posjedovni list,43.828344,16.310635
842/2,1324,Katastarska čestica,Vidi posjedovni list,43.828565,16.309225
842/1,2014,Katastarska čestica,Vidi posjedovni list,43.828184,16.309924
843,3219,Katastarska čestica,Vidi posjedovni list,43.828214,16.309379
844,4744,Katastarska čestica,Vidi posjedovni list,43.829138,16.308937
846,3424,Katastarska čestica,Vidi posjedovni list,43.830104,16.31053
847,2845,Katastarska čestica,Vidi posjedovni list,43.830209,16.310411
849,856,Katastarska čestica,Vidi posjedovni list,43.829927,16.309894
850,827,Katastarska čestica,Vidi posjedovni list,43.830649,16.31076
854/1,1720,Katastarska čestica,Vidi posjedovni list,43.830394,16.310164
854/2,1938,Katastarska čestica,Vidi posjedovni list,43.830337,16.310241
857/1,3683,Katastarska čestica,Vidi posjedovni list,43.83049,16.310063
857/2,4118,Katastarska čestica,Vidi posjedovni list,43.83065,16.309943
857/3,4017,Katastarska čestica,Vidi posjedovni list,43.830792,16.309778
858,151,Katastarska čestica,Vidi posjedovni list,43.830024,16.308921
859,2320,Katastarska čestica,Vidi posjedovni list,43.829443,16.308743
860/2,2426,Katastarska čestica,Vidi posjedovni list,43.829843,16.308288
860/1,2518,Katastarska čestica,Vidi posjedovni list,43.829675,16.308558
861/2,994,Katastarska čestica,Vidi posjedovni list,43.830022,16.30801
861/1,1018,Katastarska čestica,Vidi posjedovni list,43.829974,16.308129
862/1,1154,Katastarska čestica,Vidi posjedovni list,43.830187,16.30783
862/2,1159,Katastarska čestica,Vidi posjedovni list,43.830113,16.307937
863/1,1877,Katastarska čestica,Vidi posjedovni list,43.830915,16.30758
863/2,1604,Katastarska čestica,Vidi posjedovni list,43.830771,16.30751
863/4,500,Katastarska čestica,Vidi posjedovni list,43.830519,16.307429
863/3,1475,Katastarska čestica,Vidi posjedovni list,43.830634,16.307444
865,1867,Katastarska čestica,Vidi posjedovni list,43.83049,16.307157
866,5823,Katastarska čestica,Vidi posjedovni list,43.830012,16.307095
867/2,1119,Katastarska čestica,Vidi posjedovni list,43.829485,16.30715
867/3,1266,Katastarska čestica,Vidi posjedovni list,43.8294,16.307096
867/1,2122,Katastarska čestica,Vidi posjedovni list,43.829488,16.30766
868/2,2111,Katastarska čestica,Vidi posjedovni list,43.829219,16.306792
868/1,950,Katastarska čestica,Vidi posjedovni list,43.829318,16.307058
869,8427,Katastarska čestica,Vidi posjedovni list,43.830077,16.306333
871,2032,Katastarska čestica,Vidi posjedovni list,43.83022,16.306026
872/1,939,Katastarska čestica,Vidi posjedovni list,43.830291,16.305978
872/2,872,Katastarska čestica,Vidi posjedovni list,43.830063,16.305707
872/3,679,Katastarska čestica,Vidi posjedovni list,43.830326,16.305951
873,2298,Katastarska čestica,Vidi posjedovni list,43.830293,16.305785
874/1,4915,Katastarska čestica,Vidi posjedovni list,43.83034,16.305616
874/2,3665,Katastarska čestica,Vidi posjedovni list,43.830311,16.305358
875/2,3065,Katastarska čestica,Vidi posjedovni list,43.830545,16.305235
875/1,2470,Katastarska čestica,Vidi posjedovni list,43.830449,16.305306
877/2,2746,Katastarska čestica,Vidi posjedovni list,43.830432,16.3049
877/1,1766,Katastarska čestica,Vidi posjedovni list,43.830544,16.305104
878/1,6577,Katastarska čestica,Vidi posjedovni list,43.830468,16.304686
878/2,129,Katastarska čestica,Vidi posjedovni list,43.829641,16.303879
879,2183,Katastarska čestica,Vidi posjedovni list,43.830533,16.304498
880/4,1816,Katastarska čestica,Vidi posjedovni list,43.830737,16.304266
880/2,1741,Katastarska čestica,Vidi posjedovni list,43.830596,16.304337
880/3,1741,Katastarska čestica,Vidi posjedovni list,43.830675,16.304311
880/1,1953,Katastarska čestica,Vidi posjedovni list,43.830533,16.304385
881/2,1723,Katastarska čestica,Vidi posjedovni list,43.830453,16.303773
881/3,1716,Katastarska čestica,Vidi posjedovni list,43.830391,16.303864
882,3255,Katastarska čestica,Vidi posjedovni list,43.830921,16.303998
903,543,Katastarska čestica,Vidi posjedovni list,43.830502,16.308368
904,6697,Katastarska čestica,Vidi posjedovni list,43.831026,16.309121
905/2,152,Katastarska čestica,Vidi posjedovni list,43.830138,16.308778
905/3,2415,Katastarska čestica,Vidi posjedovni list,43.830806,16.309532
905/1,3098,Katastarska čestica,Vidi posjedovni list,43.83088,16.309392
1053/1,838451,Katastarska čestica,Vidi posjedovni list,43.828797,16.306414
1053/3,407,Katastarska čestica,Vidi posjedovni list,43.829113,16.30827
1053/4,627,Katastarska čestica,Vidi posjedovni list,43.829273,16.308152
2086/1,4123952,Katastarska čestica,Vidi posjedovni list,43.841936,16.323695
2910,21950,Katastarska čestica,Vidi posjedovni list,43.832123,16.293092
2923,7657,Katastarska čestica,Vidi posjedovni list,43.832335,16.313259
2924,8449,Katastarska čestica,Vidi posjedovni list,43.829435,16.315185
2931,4589,Katastarska čestica,Vidi posjedovni list,43.830402,16.311054
2932,2708,Katastarska čestica,Vidi posjedovni list,43.830067,16.308758
204/1,1496114,Katastarska čestica,Vidi posjedovni list,43.819056,16.318044
